empresa,ano,pos,beneficiaria,setor,porte,faturamento_mi,lucro_real,pd
E0001,2022,0,0,Servicos,Micro,1.35,0,203.8
E0001,2025,1,0,Servicos,Micro,1.35,0,101.4
E0002,2022,0,0,Agroindustria,Pequena,10.26,0,562.2
E0002,2025,1,0,Agroindustria,Pequena,10.26,0,705.6
E0003,2022,0,1,Servicos,Media,89.36,0,1373.7
E0003,2025,1,1,Servicos,Media,89.36,0,1947.3
E0004,2022,0,0,Comercio,Micro,0.87,0,479.8
E0004,2025,1,0,Comercio,Micro,0.87,0,702.3
E0005,2022,0,1,Servicos,Micro,0.88,0,398.0
E0005,2025,1,1,Servicos,Micro,0.88,0,602.4
E0006,2022,0,0,Agroindustria,Micro,3.8,0,526.1
E0006,2025,1,0,Agroindustria,Micro,3.8,0,746.4
E0007,2022,0,0,Agroindustria,Micro,4.67,1,715.0
E0007,2025,1,0,Agroindustria,Micro,4.67,1,738.7
E0008,2022,0,0,Comercio,Pequena,7.61,0,414.9
E0008,2025,1,0,Comercio,Pequena,7.61,0,723.8
E0009,2022,0,1,Industria,Media,18.84,1,696.1
E0009,2025,1,1,Industria,Media,18.84,1,1045.3
E0010,2022,0,0,Agropecuaria,Pequena,9.83,0,652.8
E0010,2025,1,0,Agropecuaria,Pequena,9.83,0,776.8
E0011,2022,0,1,Servicos,Pequena,15.07,0,729.6
E0011,2025,1,1,Servicos,Pequena,15.07,0,1362.4
E0012,2022,0,1,Comercio,Micro,2.43,0,574.6
E0012,2025,1,1,Comercio,Micro,2.43,0,744.5
E0013,2022,0,1,Agroindustria,Pequena,12.34,0,692.0
E0013,2025,1,1,Agroindustria,Pequena,12.34,0,943.2
E0014,2022,0,0,Agropecuaria,Pequena,12.12,0,489.4
E0014,2025,1,0,Agropecuaria,Pequena,12.12,0,596.9
E0015,2022,0,0,Industria,Pequena,8.03,0,559.0
E0015,2025,1,0,Industria,Pequena,8.03,0,959.1
E0016,2022,0,0,Servicos,Pequena,8.14,0,602.3
E0016,2025,1,0,Servicos,Pequena,8.14,0,752.6
E0017,2022,0,1,Industria,Media,26.11,0,929.1
E0017,2025,1,1,Industria,Media,26.11,0,1291.7
E0018,2022,0,0,Servicos,Micro,1.78,1,277.4
E0018,2025,1,0,Servicos,Micro,1.78,1,539.8
E0019,2022,0,1,Servicos,Pequena,5.11,0,859.0
E0019,2025,1,1,Servicos,Pequena,5.11,0,1087.3
E0020,2022,0,0,Comercio,Micro,2.73,0,588.0
E0020,2025,1,0,Comercio,Micro,2.73,0,600.1
E0021,2022,0,0,Servicos,Media,65.42,0,1106.6
E0021,2025,1,0,Servicos,Media,65.42,0,1126.4
E0022,2022,0,1,Industria,Media,78.5,1,952.0
E0022,2025,1,1,Industria,Media,78.5,1,1264.8
E0023,2022,0,0,Comercio,Pequena,14.11,0,321.2
E0023,2025,1,0,Comercio,Pequena,14.11,0,379.0
